# f_eff(Delta;p)/alpha for G_1 at three pressures (0.5 p_c, p_c, 1.5 p_c).
# p_c = 0.9418 GPa, delta = 2.2100 A, u_eff/alpha = 0.205 A^-2.
# Columns: Delta [A]  f/alpha [A^2] at 0.5 p_c  at p_c  at 1.5 p_c
0.525876 0.073056 0.003919 -0.065217
0.530050 0.074284 0.004045 -0.066193
0.534224 0.075523 0.004174 -0.067174
0.538397 0.076774 0.004306 -0.068162
0.542571 0.078037 0.004441 -0.069154
0.546745 0.079312 0.004580 -0.070153
0.550918 0.080599 0.004721 -0.071157
0.555092 0.081898 0.004866 -0.072166
0.559265 0.083208 0.005014 -0.073181
0.563439 0.084531 0.005165 -0.074201
0.567613 0.085866 0.005320 -0.075226
0.571786 0.087213 0.005478 -0.076257
0.575960 0.088572 0.005640 -0.077293
0.580134 0.089944 0.005805 -0.078334
0.584307 0.091328 0.005974 -0.079380
0.588481 0.092724 0.006146 -0.080431
0.592654 0.094132 0.006323 -0.081487
0.596828 0.095554 0.006503 -0.082548
0.601002 0.096987 0.006686 -0.083614
0.605175 0.098433 0.006874 -0.084685
0.609349 0.099892 0.007066 -0.085761
0.613523 0.101364 0.007261 -0.086841
0.617696 0.102848 0.007461 -0.087926
0.621870 0.104345 0.007665 -0.089016
0.626043 0.105855 0.007872 -0.090110
0.630217 0.107378 0.008085 -0.091209
0.634391 0.108914 0.008301 -0.092312
0.638564 0.110463 0.008521 -0.093420
0.642738 0.112024 0.008746 -0.094532
0.646912 0.113599 0.008976 -0.095648
0.651085 0.115188 0.009210 -0.096768
0.655259 0.116789 0.009448 -0.097893
0.659432 0.118404 0.009691 -0.099022
0.663606 0.120032 0.009939 -0.100154
0.667780 0.121674 0.010191 -0.101291
0.671953 0.123329 0.010448 -0.102432
0.676127 0.124997 0.010710 -0.103576
0.680301 0.126680 0.010977 -0.104725
0.684474 0.128375 0.011249 -0.105877
0.688648 0.130085 0.011526 -0.107033
0.692821 0.131808 0.011808 -0.108192
0.696995 0.133546 0.012095 -0.109355
0.701169 0.135297 0.012388 -0.110522
0.705342 0.137062 0.012685 -0.111692
0.709516 0.138841 0.012988 -0.112865
0.713689 0.140634 0.013296 -0.114042
0.717863 0.142442 0.013610 -0.115222
0.722037 0.144264 0.013929 -0.116405
0.726210 0.146100 0.014254 -0.117591
0.730384 0.147950 0.014585 -0.118780
0.734558 0.149815 0.014921 -0.119973
0.738731 0.151694 0.015263 -0.121168
0.742905 0.153588 0.015611 -0.122366
0.747078 0.155496 0.015965 -0.123567
0.751252 0.157419 0.016324 -0.124771
0.755426 0.159357 0.016690 -0.125977
0.759599 0.161310 0.017062 -0.127186
0.763773 0.163277 0.017440 -0.128397
0.767947 0.165260 0.017825 -0.129611
0.772120 0.167258 0.018215 -0.130827
0.776294 0.169270 0.018612 -0.132046
0.780467 0.171298 0.019016 -0.133267
0.784641 0.173341 0.019426 -0.134490
0.788815 0.175400 0.019842 -0.135715
0.792988 0.177473 0.020266 -0.136942
0.797162 0.179562 0.020696 -0.138171
0.801336 0.181667 0.021133 -0.139402
0.805509 0.183788 0.021576 -0.140635
0.809683 0.185923 0.022027 -0.141870
0.813856 0.188075 0.022485 -0.143106
0.818030 0.190243 0.022949 -0.144344
0.822204 0.192426 0.023421 -0.145583
0.826377 0.194625 0.023901 -0.146824
0.830551 0.196841 0.024387 -0.148067
0.834725 0.199072 0.024881 -0.149310
0.838898 0.201320 0.025382 -0.150555
0.843072 0.203584 0.025891 -0.151801
0.847245 0.205864 0.026408 -0.153048
0.851419 0.208161 0.026932 -0.154297
0.855593 0.210474 0.027464 -0.155546
0.859766 0.212803 0.028004 -0.156796
0.863940 0.215149 0.028551 -0.158047
0.868114 0.217512 0.029107 -0.159298
0.872287 0.219892 0.029671 -0.160550
0.876461 0.222289 0.030243 -0.161803
0.880634 0.224702 0.030823 -0.163056
0.884808 0.227133 0.031412 -0.164310
0.888982 0.229581 0.032008 -0.165564
0.893155 0.232045 0.032614 -0.166818
0.897329 0.234527 0.033228 -0.168072
0.901503 0.237027 0.033850 -0.169326
0.905676 0.239544 0.034481 -0.170581
0.909850 0.242078 0.035121 -0.171835
0.914023 0.244630 0.035770 -0.173089
0.918197 0.247200 0.036428 -0.174343
0.922371 0.249787 0.037095 -0.175597
0.926544 0.252392 0.037771 -0.176850
0.930718 0.255015 0.038456 -0.178103
0.934891 0.257656 0.039151 -0.179355
0.939065 0.260315 0.039854 -0.180606
0.943239 0.262993 0.040568 -0.181857
0.947412 0.265688 0.041290 -0.183107
0.951586 0.268402 0.042023 -0.184356
0.955760 0.271134 0.042765 -0.185604
0.959933 0.273885 0.043517 -0.186851
0.964107 0.276654 0.044279 -0.188097
0.968280 0.279442 0.045050 -0.189341
0.972454 0.282249 0.045832 -0.190585
0.976628 0.285074 0.046624 -0.191826
0.980801 0.287919 0.047426 -0.193067
0.984975 0.290783 0.048239 -0.194305
0.989149 0.293665 0.049061 -0.195542
0.993322 0.296567 0.049895 -0.196778
0.997496 0.299488 0.050739 -0.198011
1.001669 0.302429 0.051593 -0.199242
1.005843 0.305388 0.052458 -0.200472
