# Conceptual f_eff(Delta; p_red) for the manuscript Landau functional with alpha = u = 1.
# Columns: Delta  f_p=-0.6  f_p=-0.2  f_p=0  f_p=+0.2  f_p=+0.6
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.002838 0.000002 0.000001 0.000000 -0.000001 -0.000002
0.005676 0.000010 0.000003 0.000000 -0.000003 -0.000010
0.008514 0.000022 0.000007 0.000000 -0.000007 -0.000022
0.011352 0.000039 0.000013 0.000000 -0.000013 -0.000039
0.014190 0.000060 0.000020 0.000000 -0.000020 -0.000060
0.017028 0.000087 0.000029 0.000000 -0.000029 -0.000087
0.019866 0.000118 0.000040 0.000000 -0.000039 -0.000118
0.022705 0.000155 0.000052 0.000000 -0.000051 -0.000155
0.025543 0.000196 0.000065 0.000000 -0.000065 -0.000196
0.028381 0.000242 0.000081 0.000000 -0.000080 -0.000241
0.031219 0.000293 0.000098 0.000000 -0.000097 -0.000292
0.034057 0.000348 0.000116 0.000000 -0.000116 -0.000348
0.036895 0.000409 0.000137 0.000000 -0.000136 -0.000408
0.039733 0.000474 0.000158 0.000001 -0.000157 -0.000473
0.042571 0.000545 0.000182 0.000001 -0.000180 -0.000543
0.045409 0.000620 0.000207 0.000001 -0.000205 -0.000618
0.048247 0.000700 0.000234 0.000001 -0.000231 -0.000697
0.051085 0.000785 0.000263 0.000002 -0.000259 -0.000781
0.053923 0.000874 0.000293 0.000002 -0.000289 -0.000870
0.056761 0.000969 0.000325 0.000003 -0.000320 -0.000964
0.059599 0.001069 0.000358 0.000003 -0.000352 -0.001062
0.062437 0.001173 0.000394 0.000004 -0.000386 -0.001166
0.065275 0.001283 0.000431 0.000005 -0.000422 -0.001274
0.068114 0.001397 0.000469 0.000005 -0.000459 -0.001386
0.070952 0.001517 0.000510 0.000006 -0.000497 -0.001504
0.073790 0.001641 0.000552 0.000007 -0.000537 -0.001626
0.076628 0.001770 0.000596 0.000009 -0.000579 -0.001753
0.079466 0.001904 0.000641 0.000010 -0.000622 -0.001884
0.082304 0.002044 0.000689 0.000011 -0.000666 -0.002021
0.085142 0.002188 0.000738 0.000013 -0.000712 -0.002162
0.087980 0.002337 0.000789 0.000015 -0.000759 -0.002307
0.090818 0.002491 0.000842 0.000017 -0.000808 -0.002457
0.093656 0.002651 0.000896 0.000019 -0.000858 -0.002612
0.096494 0.002815 0.000953 0.000022 -0.000909 -0.002772
0.099332 0.002984 0.001011 0.000024 -0.000962 -0.002936
0.102170 0.003159 0.001071 0.000027 -0.001017 -0.003104
0.105008 0.003338 0.001133 0.000030 -0.001072 -0.003278
0.107846 0.003523 0.001197 0.000034 -0.001129 -0.003455
0.110684 0.003713 0.001263 0.000038 -0.001188 -0.003638
0.113523 0.003908 0.001330 0.000042 -0.001247 -0.003825
0.116361 0.004108 0.001400 0.000046 -0.001308 -0.004016
0.119199 0.004313 0.001471 0.000050 -0.001370 -0.004212
0.122037 0.004523 0.001545 0.000055 -0.001434 -0.004412
0.124875 0.004739 0.001620 0.000061 -0.001499 -0.004617
0.127713 0.004960 0.001698 0.000067 -0.001565 -0.004827
0.130551 0.005186 0.001777 0.000073 -0.001632 -0.005040
0.133389 0.005417 0.001858 0.000079 -0.001700 -0.005259
0.136227 0.005653 0.001942 0.000086 -0.001770 -0.005481
0.139065 0.005895 0.002027 0.000094 -0.001840 -0.005708
0.141903 0.006142 0.002115 0.000101 -0.001912 -0.005940
0.144741 0.006395 0.002205 0.000110 -0.001985 -0.006175
0.147579 0.006652 0.002297 0.000119 -0.002059 -0.006415
0.150417 0.006916 0.002391 0.000128 -0.002135 -0.006660
0.153255 0.007184 0.002487 0.000138 -0.002211 -0.006908
0.156093 0.007458 0.002585 0.000148 -0.002288 -0.007161
