# G_1 broken-phase observed (p[GPa], Delta[A])
0.95000  0.75684
0.96783  0.75696
0.97243  0.75696
0.99000  0.75684
1.00000  0.75696
1.05000  0.87775
1.10000  1.11145
1.15000  1.24639
1.15750  1.24734
1.15750  1.24722
1.20000  1.35965
1.20000  1.35965
1.25000  1.46277
1.25000  1.46277
1.30000  1.55257
1.30000  1.55281
1.35000  1.63530
1.35000  1.63530
1.40000  1.71073
1.40000  1.71073
1.45000  1.77920
1.45000  1.77932
1.50000  1.84378
1.50000  1.84402
1.60000  1.96081
1.60000  1.96093
1.70000  2.06546
1.70000  2.06522
1.80000  2.15880
1.80000  2.15903
1.90000  2.25096
1.90000  2.25102
2.00000  2.32120
2.00000  2.32120
