# G_3 D8R distortion (omega1 >= 0)
# Columns: p [GPa]   Delta [A]
0.000000 0.000000
0.100000 0.004120
0.200000 0.003770
0.250000 0.033060
0.300000 0.084850
0.320000 0.078190
0.330000 0.076010
0.335000 0.074780
0.340000 0.075370
0.345000 0.076190
0.350000 0.076250
0.350000 0.069060
0.355000 0.076310
0.360000 0.076660
0.365000 0.280960
0.370000 0.302760
0.385000 0.358970
0.400000 0.425440
0.400000 0.425440
0.500000 0.638870
0.600000 0.800920
0.700000 0.932080
0.800000 1.050110
0.900000 1.155060
1.000000 1.251810
1.100000 1.341440
1.200000 1.427590
1.300000 1.508080
1.400000 1.585040
1.500000 1.659170
1.600000 1.728880
1.700000 1.797230
1.800000 1.862220
1.900000 1.925450
2.000000 1.987030
