# Direct sextic-Landau fit to Delta(p), broken phase.
# Columns: G_k_label  N_pts  pc[GPa]  C[A^2]+/-err  eta+/-err  U_eff/A[A^-2]  W/A[A^-4]  R^2
G_1      34  0.9418     3.281    0.407     5.3242    0.9036    0.1145    0.01745  0.9934
G_2      50  0.5338    25.321    5.311     0.1215    0.0268    0.6503    0.01284  0.9983
G_3      21  0.3627    35.923   17.707     0.0510    0.0262    1.0911    0.01519  0.9988
G_4      19  0.2241   125.458   91.854     0.0083    0.0062    1.9114    0.00762  0.9997
G_5      19  0.1282   999.999 14877.666     0.0006    0.0083    3.6063    0.00180  0.9977
