# G_2 sextic fit curve (p[GPa], Delta[A])
0.53880  0.12000
0.54614  0.18850
0.55349  0.23800
0.56083  0.27882
0.56817  0.31435
0.57551  0.34624
0.58286  0.37540
0.59020  0.40243
0.59754  0.42774
0.60488  0.45161
0.61223  0.47426
0.61957  0.49586
0.62691  0.51655
0.63426  0.53642
0.64160  0.55556
0.64894  0.57405
0.65628  0.59196
0.66363  0.60932
0.67097  0.62618
0.67831  0.64259
0.68565  0.65858
0.69300  0.67418
0.70034  0.68941
0.70768  0.70430
0.71503  0.71887
0.72237  0.73314
0.72971  0.74713
0.73705  0.76085
0.74440  0.77431
0.75174  0.78754
0.75908  0.80053
0.76642  0.81331
0.77377  0.82588
0.78111  0.83825
0.78845  0.85044
0.79579  0.86244
0.80314  0.87427
0.81048  0.88593
0.81782  0.89743
0.82517  0.90877
0.83251  0.91997
0.83985  0.93102
0.84719  0.94194
0.85454  0.95272
0.86188  0.96337
0.86922  0.97390
0.87656  0.98431
0.88391  0.99460
0.89125  1.00478
0.89859  1.01484
0.90594  1.02480
0.91328  1.03466
0.92062  1.04442
0.92796  1.05408
0.93531  1.06364
0.94265  1.07312
0.94999  1.08250
0.95733  1.09179
0.96468  1.10100
0.97202  1.11013
0.97936  1.11917
0.98671  1.12814
0.99405  1.13702
1.00139  1.14584
1.00873  1.15457
1.01608  1.16324
1.02342  1.17184
1.03076  1.18036
1.03810  1.18882
1.04545  1.19722
1.05279  1.20554
1.06013  1.21381
1.06748  1.22201
1.07482  1.23015
1.08216  1.23824
1.08950  1.24626
1.09685  1.25423
1.10419  1.26214
1.11153  1.27000
1.11887  1.27780
1.12622  1.28555
1.13356  1.29324
1.14090  1.30089
1.14825  1.30849
1.15559  1.31603
1.16293  1.32353
1.17027  1.33098
1.17762  1.33838
1.18496  1.34574
1.19230  1.35305
1.19964  1.36032
1.20699  1.36754
1.21433  1.37472
1.22167  1.38186
1.22902  1.38896
1.23636  1.39601
1.24370  1.40303
1.25104  1.41000
1.25839  1.41694
1.26573  1.42383
1.27307  1.43069
1.28041  1.43751
1.28776  1.44429
1.29510  1.45104
1.30244  1.45775
1.30978  1.46443
1.31713  1.47107
1.32447  1.47767
1.33181  1.48425
1.33916  1.49079
1.34650  1.49729
1.35384  1.50376
1.36118  1.51020
1.36853  1.51661
1.37587  1.52299
1.38321  1.52934
1.39055  1.53565
1.39790  1.54194
1.40524  1.54819
1.41258  1.55442
1.41993  1.56061
1.42727  1.56678
1.43461  1.57292
1.44195  1.57903
1.44930  1.58512
1.45664  1.59117
1.46398  1.59720
1.47132  1.60320
1.47867  1.60918
1.48601  1.61513
1.49335  1.62105
1.50070  1.62695
1.50804  1.63282
1.51538  1.63867
1.52272  1.64449
1.53007  1.65029
1.53741  1.65607
1.54475  1.66182
1.55209  1.66754
1.55944  1.67325
1.56678  1.67893
1.57412  1.68458
1.58147  1.69022
1.58881  1.69583
1.59615  1.70142
1.60349  1.70698
1.61084  1.71253
1.61818  1.71805
1.62552  1.72356
1.63286  1.72904
1.64021  1.73450
1.64755  1.73994
1.65489  1.74536
1.66224  1.75075
1.66958  1.75613
1.67692  1.76149
1.68426  1.76683
1.69161  1.77215
1.69895  1.77745
1.70629  1.78273
1.71363  1.78799
1.72098  1.79323
1.72832  1.79846
1.73566  1.80366
1.74301  1.80885
1.75035  1.81402
1.75769  1.81917
1.76503  1.82430
1.77238  1.82942
1.77972  1.83451
1.78706  1.83959
1.79440  1.84466
1.80175  1.84970
1.80909  1.85473
1.81643  1.85974
1.82377  1.86474
1.83112  1.86972
1.83846  1.87468
1.84580  1.87962
1.85315  1.88455
1.86049  1.88947
1.86783  1.89437
1.87517  1.89925
1.88252  1.90411
1.88986  1.90896
1.89720  1.91380
1.90454  1.91862
1.91189  1.92343
1.91923  1.92822
1.92657  1.93299
1.93392  1.93775
1.94126  1.94250
1.94860  1.94723
1.95594  1.95195
1.96329  1.95665
1.97063  1.96134
1.97797  1.96601
1.98531  1.97067
1.99266  1.97532
2.00000  1.97995
