# Conceptual f(Delta, v; p_red=+0.3) - f(Delta, 1; p_red=+0.3) for four fixed Delta values.
# Columns: v  df_D=0.0  df_D=0.4  df_D=0.8  df_D=1.2
0.500000 0.125000 0.105000 0.045000 -0.055000
0.500835 0.124583 0.104616 0.044717 -0.055117
0.501669 0.124167 0.104233 0.044434 -0.055232
0.502504 0.123751 0.103851 0.044152 -0.055347
0.503339 0.123336 0.103470 0.043870 -0.055462
0.504174 0.122922 0.103089 0.043590 -0.055576
0.505008 0.122508 0.102709 0.043310 -0.055689
0.505843 0.122096 0.102329 0.043030 -0.055801
0.506678 0.121683 0.101951 0.042752 -0.055913
0.507513 0.121272 0.101572 0.042474 -0.056024
0.508347 0.120861 0.101195 0.042197 -0.056134
0.509182 0.120451 0.100818 0.041920 -0.056243
0.510017 0.120042 0.100442 0.041644 -0.056352
0.510851 0.119633 0.100067 0.041369 -0.056460
0.511686 0.119225 0.099693 0.041095 -0.056568
0.512521 0.118818 0.099319 0.040821 -0.056675
0.513356 0.118411 0.098946 0.040548 -0.056781
0.514190 0.118006 0.098573 0.040276 -0.056886
0.515025 0.117600 0.098201 0.040004 -0.056991
0.515860 0.117196 0.097830 0.039733 -0.057095
0.516694 0.116792 0.097460 0.039463 -0.057198
0.517529 0.116389 0.097090 0.039194 -0.057300
0.518364 0.115987 0.096721 0.038925 -0.057402
0.519199 0.115585 0.096353 0.038657 -0.057504
0.520033 0.115184 0.095985 0.038389 -0.057604
0.520868 0.114784 0.095618 0.038123 -0.057704
0.521703 0.114384 0.095252 0.037857 -0.057803
0.522538 0.113985 0.094887 0.037591 -0.057901
0.523372 0.113587 0.094522 0.037327 -0.057999
0.524207 0.113189 0.094158 0.037063 -0.058096
0.525042 0.112793 0.093794 0.036799 -0.058192
0.525876 0.112397 0.093432 0.036537 -0.058288
0.526711 0.112001 0.093070 0.036275 -0.058383
0.527546 0.111606 0.092708 0.036014 -0.058477
0.528381 0.111212 0.092348 0.035753 -0.058571
0.529215 0.110819 0.091988 0.035494 -0.058663
0.530050 0.110426 0.091628 0.035234 -0.058756
0.530885 0.110035 0.091270 0.034976 -0.058847
0.531720 0.109643 0.090912 0.034718 -0.058938
0.532554 0.109253 0.090555 0.034461 -0.059028
