# G_2 DFT r2SCAN+rVV10
# Columns: p [GPa]   V/V_0 [-]   Delta [A]
0.000000 1.000000 0.006634
0.500000 0.989985 0.011165
0.700000 0.926425 1.435309
0.900000 0.890392 1.751120
1.500000 0.794506 2.388373
1.700000 0.777796 2.484700
1.900000 0.769770 2.527691
