# G_1 MACE (Nasir et al.); spurious p=0.70 GPa point dropped
# Columns: p [GPa]   V/V_0 [-]   Delta [A]
0.000000 1.000000 0.000377
0.100000 0.998106 0.000407
0.200000 0.996295 0.003231
0.300000 0.994663 0.000345
0.400000 0.956710 1.153419
0.500000 0.940627 1.356285
0.600000 0.921225 1.564202
0.800000 0.890088 1.842504
0.900000 0.872371 1.983690
1.000000 0.859917 2.075064
1.100000 0.848381 2.155743
1.200000 0.836002 2.239800
1.300000 0.825556 2.307773
1.400000 0.816555 2.364320
1.500000 0.807476 2.420371
1.600000 0.797794 2.479419
1.700000 0.788394 2.535632
1.800000 0.779930 2.585106
1.900000 0.772280 2.629058
2.000000 0.765151 2.669410
