# 2x2x2 supercell equilibrium points.
# Columns: p [GPa]   Delta [A]
0.000000 0.000000
0.100000 0.000000
0.200000 0.000000
0.300000 0.000000
0.400000 0.000000
0.500000 0.000000
0.600000 0.000000
0.700000 0.000000
0.800000 0.012000
0.850000 0.000000
0.860000 0.000000
0.875000 0.000000
0.900000 0.000000
0.910000 0.000000
0.925000 0.000000
0.930000 0.000000
0.940000 0.000000
0.950000 0.757000
0.968000 0.757000
0.972000 0.757000
0.990000 0.757000
1.000000 0.757000
1.050000 0.878000
1.100000 1.111000
1.150000 1.246000
1.158000 1.247000
1.200000 1.360000
1.250000 1.463000
1.300000 1.553000
1.350000 1.635000
1.400000 1.711000
1.450000 1.779000
1.500000 1.844000
1.600000 1.961000
1.700000 2.065000
1.800000 2.159000
1.900000 2.251000
2.000000 2.321000
